,Unemployment Rate,metropolitan statistical area/micropolitan statistical area
582,5.7,42100
583,4.1,42140
584,7.1,42180
585,5.8,42200
586,4.4,42220
587,8.9,42300
588,6.9,42340
589,3.4,43020
590,6.0,43060
591,3.1,43100
592,8.3,43140
593,4.3,43180
594,6.9,43220
595,3.1,43260
596,4.6,43300
597,12.7,43320
598,6.4,43340
599,4.5,43380
600,6.3,43420
601,4.4,43460
602,7.1,43500
603,3.9,43580
604,2.7,43620
605,4.0,43660
606,7.1,43700
607,5.1,43740
608,5.2,43760
609,4.8,43780
610,5.5,43900
611,2.6,43940
612,4.2,43980
613,1.9,44020
614,5.6,44060
615,5.8,44100
616,5.6,44140
617,3.8,44180
618,6.7,44220
619,7.8,44260
620,4.1,44300
621,8.0,44340
622,3.8,44420
623,3.1,44460
624,3.6,44500
625,3.3,44540
626,4.5,44580
627,3.3,44620
628,4.1,44660
629,7.8,44700
630,5.1,44740
631,4.4,44780
632,4.2,44860
633,5.6,44900
634,9.8,44940
635,4.7,44980
636,6.5,45000
637,6.8,45020
638,5.4,45060
639,7.6,45140
640,8.5,45180
641,7.0,45220
642,5.5,45300
643,8.7,45340
644,3.3,45380
645,6.3,45460
646,6.4,45500
647,4.5,45520
648,3.7,45540
649,5.8,45580
650,7.4,45620
651,4.4,45660
652,2.7,45700
653,8.3,45740
654,6.2,45780
655,4.1,45820
656,5.0,45860
657,4.7,45900
658,6.1,45940
659,6.1,45980
660,4.6,46020
661,7.0,46060
662,4.3,46100
663,5.4,46140
664,5.6,46180
665,6.5,46220
666,3.4,46300
667,5.4,46340
668,8.7,46380
669,6.8,46420
670,5.5,46460
671,5.0,46500
672,4.0,46520
673,4.9,46540
674,5.3,46620
675,6.5,46660
676,6.0,46700
677,3.9,46780
678,5.2,46820
679,8.1,46860
680,5.6,46900
681,6.4,46980
682,5.6,47020
683,8.7,47080
684,4.1,47180
685,7.3,47220
686,3.4,47240
687,5.6,47260
688,9.5,47300
689,4.6,47340
690,4.2,47380
691,2.9,47420
692,4.7,47460
693,3.0,47540
694,6.8,47580
695,4.5,47620
696,6.0,28700
697,5.1,28740
698,8.4,28780
699,11.4,28820
700,5.4,28860
701,8.1,28900
702,4.9,28940
703,5.5,28020
704,3.5,28060
705,5.2,28100
706,3.9,28140
707,3.8,28180
708,2.7,28260
709,3.4,28300
710,3.9,28340
711,6.8,28380
712,5.4,28420
713,5.2,28500
714,5.9,28540
715,2.9,28580
716,4.4,28620
717,7.6,28660
718,5.1,29020
719,3.9,29060
720,3.3,29100
721,6.5,29180
722,4.0,29200
723,5.9,29260
724,5.6,29300
725,5.6,29340
726,8.6,29380
727,8.0,29420
728,5.9,29460
729,5.8,29500
730,3.7,29540
731,5.6,29620
732,4.5,29660
733,4.9,29700
734,7.7,29740
735,8.4,29780
736,6.4,29820
737,5.3,29860
738,11.8,29900
739,4.2,29940
740,8.1,29980
741,7.5,30020
742,6.4,30060
743,3.3,30100
744,4.4,30140
745,7.5,30220
746,3.7,30260
747,6.0,30280
748,4.8,30300
749,3.9,30340
750,3.5,30380
751,3.4,30420
752,5.0,30460
753,5.0,30580
754,5.4,30620
755,5.6,30660
756,3.2,30700
757,4.2,30780
758,5.6,30820
759,2.5,30860
760,4.6,30900
761,6.9,30940
762,5.4,30980
763,6.6,31020
764,3.4,31060
765,5.7,31080
766,5.0,31140
767,3.9,31180
768,4.4,31220
769,6.6,31260
770,6.7,31300
771,4.5,31340
772,7.4,31380
773,7.0,31420
774,8.7,31460
775,4.2,31500
776,2.6,31540
777,5.5,31580
778,10.9,31620
779,7.0,31660
780,6.0,31680
781,4.0,31700
782,5.0,31740
783,2.6,31820
784,3.6,31860
785,5.3,31900
786,4.0,31930
787,4.4,31940
788,7.2,31980
789,6.9,32580
790,4.9,32620
791,5.1,32660
792,1.9,32700
793,5.3,32740
794,5.9,32780
795,6.8,32820
796,3.4,32860
797,11.9,32900
798,6.0,32940
799,5.7,32000
800,6.6,32020
801,5.7,32100
802,3.3,32140
803,3.4,32180
804,5.0,32260
805,5.6,32280
806,7.4,32300
807,2.9,32340
808,4.1,32380
809,24.3,32420
810,6.1,32460
811,5.0,32500
812,6.4,32540
813,4.6,33020
814,5.7,33060
815,5.7,33100
816,6.1,33140
817,10.0,33180
818,5.2,33220
819,3.3,33260
820,7.7,33300
821,4.3,33340
822,5.2,33380
823,7.4,33420
824,3.6,33460
825,2.8,33500
826,4.4,33540
827,2.0,33580
828,5.4,33620
829,5.9,33660
830,9.1,33700
831,6.0,33740
832,4.8,33780
833,5.8,33860
834,6.0,33940
835,5.7,33980
836,4.4,34540
837,5.5,34580
838,6.6,34620
839,4.3,34660
840,3.0,34700
841,6.5,34740
842,6.3,34780
843,5.9,34820
844,8.7,34860
845,4.5,34900
846,3.9,34940
847,3.9,34980
848,8.7,34020
849,6.8,34060
850,6.2,34100
851,4.2,34140
852,6.2,34180
853,7.8,34220
854,4.6,34260
855,7.1,34300
856,4.0,34340
857,14.4,34350
858,7.1,34380
859,5.5,34420
860,5.3,34460
861,7.2,34500
862,8.2,35020
863,13.8,35060
864,7.1,35100
865,6.3,35140
866,5.5,35220
867,6.3,35260
868,6.4,35300
869,6.3,35380
870,4.2,35420
871,6.1,35440
872,8.6,35460
873,1.6,35580
874,5.5,35620
875,5.9,35660
876,7.7,35700
877,2.8,35740
878,3.1,35820
879,5.1,35840
880,3.1,35860
881,4.8,47660
882,3.7,47700
883,3.6,47780
884,7.1,47820
885,4.7,47900
886,5.8,47920
887,5.5,35900
888,4.3,35940
889,5.9,35980
890,5.8,36580
891,6.0,36620
892,3.9,47940
893,2.2,47980
894,3.2,48020
895,6.2,48060
896,6.1,48100
897,2.9,48140
898,5.7,48180
899,3.2,48220
900,6.0,48260
901,4.0,48300
902,4.1,48460
903,10.3,48500
904,5.3,48540
905,3.8,48580
906,4.8,48620
907,4.8,48660
908,5.0,48700
909,2.2,48780
910,3.2,48820
911,5.5,48900
912,5.6,48940
913,7.9,48980
914,3.5,49020
915,4.8,49060
916,3.4,49080
917,3.6,49100
918,5.5,49180
919,3.8,49220
920,5.1,49260
921,3.5,49300
922,5.1,49340
923,3.3,49380
924,6.4,49420
925,3.4,49460
926,22.5,49500
927,4.4,49620
928,6.2,49660
929,7.8,49700
930,10.0,49740
931,6.1,49780
932,10.4,49820
933,5.9,36660
934,9.2,36700
935,5.2,36740
936,4.1,22700
937,4.7,22660
